"Genus"	"MeasID_3"	"MeasID_4"	"MeasID_5"	"MeasID_6"	"MeasID_7"	"MeasID_8"	"MeasID_9"	"MeasID_10"	"MeasID_11"	"MeasID_12"	"MeasID_13"	"MeasID_14"	"MeasID_15"	"MeasID_16"	"MeasID_17"	"MeasID_18"
"172"	"Anagallis"	NA	NA	NA	NA	NA	NA	NA	NA	0.721515	1.79503	NA	NA	NA	NA	42.6022392805	NA
"173"	"Anagyris"	NA	NA	NA	NA	NA	NA	NA	NA	4.204735652	3.72	NA	NA	NA	NA	10.4829314552	NA
"174"	"Ananas"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA
"175"	"Anaphalis"	24.760307693	NA	NA	NA	NA	NA	NA	NA	NA	1.78243103024	NA	NA	NA	NA	14.4682880462857	NA
"176"	"Anarrhinum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.311	NA
"177"	"Anaxagorea"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.5421241021875	NA
"178"	"Anchusa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.9313043478261	NA
"179"	"Andersonia"	NA	NA	NA	NA	NA	NA	NA	NA	2.430381394	0.94	NA	NA	NA	NA	3.867705711	NA
"180"	"Andira"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.03756890516667	NA	NA	NA	NA	19.9566324451538	NA
"181"	"Andromeda"	NA	NA	NA	NA	NA	NA	NA	NA	2.206410621	1.34044666666667	0.650025	NA	NA	0.81	9.05147748703704	7.9
"182"	"Andropogon"	36.8424588395349	NA	NA	NA	NA	NA	NA	NA	0.748894827613636	1.27157571591954	NA	0.87497063333	NA	NA	18.4975976114898	NA
"183"	"Androsace"	NA	NA	NA	NA	NA	NA	NA	NA	0.632896951	1.9493226119	NA	NA	NA	NA	23.5298251395417	NA
"184"	"Anemarrhena"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.323	NA	NA	NA	NA	NA	NA
