"obsID"	"traitcolnum"	"traitname"	"invCWM"	"natCWM"	"numspp"	"numinfospp"	"info"
"278"	"18"	"6"	"MeasID_8"	NA	NA	5	"0"	NA
"279"	"18"	"7"	"MeasID_9"	NA	NA	5	"0"	NA
"280"	"18"	"8"	"MeasID_10"	NA	NA	5	"0"	NA
"281"	"18"	"9"	"MeasID_11"	1.64351747797469	1.53014008096836	5	"5"	NA
"282"	"18"	"10"	"MeasID_12"	1.88795949073292	2.12994936341615	5	"5"	NA
"283"	"18"	"11"	"MeasID_13"	0.380895	0.47611875	5	"2"	NA
"284"	"18"	"12"	"MeasID_14"	1.0600090086624	1.325011260828	5	"4"	NA
"285"	"18"	"13"	"MeasID_15"	0.184	0	5	"1"	NA
"286"	"18"	"14"	"MeasID_16"	0.371037466196819	0.463796832746024	5	"4"	NA
"287"	"18"	"15"	"MeasID_17"	16.9880696711751	18.0186219190699	5	"5"	NA
"288"	"18"	"16"	"MeasID_18"	16.5538461538462	15.3673076923077	5	"5"	NA
"289"	"19"	"1"	"MeasID_3"	21.6734248733518	26.0081098480222	6	"5"	NA
"290"	"19"	"2"	"MeasID_4"	40.5104241169459	48.612508940335	6	"4"	NA
"291"	"19"	"3"	"MeasID_5"	16.9925	20.391	6	"1"	NA
"292"	"19"	"4"	"MeasID_6"	NA	NA	6	"0"	NA
"293"	"19"	"5"	"MeasID_7"	13.9805833333333	16.7767	6	"1"	NA
"294"	"19"	"6"	"MeasID_8"	NA	NA	6	"0"	NA
"295"	"19"	"7"	"MeasID_9"	NA	NA	6	"0"	NA
"296"	"19"	"8"	"MeasID_10"	NA	NA	6	"0"	NA
"297"	"19"	"9"	"MeasID_11"	1.58848070100342	1.4867714280041	6	"6"	NA
"298"	"19"	"10"	"MeasID_12"	1.6966329089441	1.85195949073292	6	"6"	NA
"299"	"19"	"11"	"MeasID_13"	0.428598611111111	0.514318333333333	6	"3"	NA
"300"	"19"	"12"	"MeasID_14"	0.883340840551998	1.0600090086624	6	"4"	NA
"301"	"19"	"13"	"MeasID_15"	0.276666666666667	0.148	6	"2"	NA
"302"	"19"	"14"	"MeasID_16"	0.412086971830682	0.494504366196819	6	"5"	NA
"303"	"19"	"15"	"MeasID_17"	16.4525507754966	17.1698887946767	6	"6"	NA
"304"	"19"	"16"	"MeasID_18"	15.8139194139194	14.7167032967033	6	"6"	NA
"305"	"20"	"1"	"MeasID_3"	21.6734248733518	26.0081098480222	6	"5"	NA
"306"	"20"	"2"	"MeasID_4"	40.5104241169459	48.612508940335	6	"4"	NA
"307"	"20"	"3"	"MeasID_5"	16.9925	20.391	6	"1"	NA
"308"	"20"	"4"	"MeasID_6"	NA	NA	6	"0"	NA
"309"	"20"	"5"	"MeasID_7"	13.9805833333333	16.7767	6	"1"	NA
"310"	"20"	"6"	"MeasID_8"	NA	NA	6	"0"	NA
"311"	"20"	"7"	"MeasID_9"	NA	NA	6	"0"	NA
"312"	"20"	"8"	"MeasID_10"	NA	NA	6	"0"	NA
"313"	"20"	"9"	"MeasID_11"	1.58848070100342	1.4867714280041	6	"6"	NA
"314"	"20"	"10"	"MeasID_12"	1.6866329089441	1.83995949073292	6	"6"	NA
"315"	"20"	"11"	"MeasID_13"	0.428598611111111	0.514318333333333	6	"3"	NA
"316"	"20"	"12"	"MeasID_14"	0.883340840551998	1.0600090086624	6	"4"	NA
"317"	"20"	"13"	"MeasID_15"	0.266666666666667	0.136	6	"2"	NA
"318"	"20"	"14"	"MeasID_16"	0.412086971830682	0.494504366196819	6	"5"	NA
"319"	"20"	"15"	"MeasID_17"	16.4525507754966	17.1698887946767	6	"6"	NA
"320"	"20"	"16"	"MeasID_18"	15.8139194139194	14.7167032967033	6	"6"	NA
"321"	"21"	"1"	"MeasID_3"	0	26.6002492	3	"1"	NA
"322"	"21"	"2"	"MeasID_4"	NA	NA	3	"0"	NA
"323"	"21"	"3"	"MeasID_5"	NA	NA	3	"0"	NA
"324"	"21"	"4"	"MeasID_6"	NA	NA	3	"0"	NA
"325"	"21"	"5"	"MeasID_7"	NA	NA	3	"0"	NA
"326"	"21"	"6"	"MeasID_8"	NA	NA	3	"0"	NA
"327"	"21"	"7"	"MeasID_9"	NA	NA	3	"0"	NA
"328"	"21"	"8"	"MeasID_10"	NA	NA	3	"0"	NA
"329"	"21"	"9"	"MeasID_11"	1.048513533	1.31329681614706	3	"2"	NA
"330"	"21"	"10"	"MeasID_12"	0.46	0.68	3	"2"	NA
"331"	"21"	"11"	"MeasID_13"	0	0.667116666666667	3	"1"	NA
"332"	"21"	"12"	"MeasID_14"	NA	NA	3	"0"	NA
"333"	"21"	"13"	"MeasID_15"	NA	NA	3	"0"	NA
"334"	"21"	"14"	"MeasID_16"	0	0.6173345	3	"1"	NA
"335"	"21"	"15"	"MeasID_17"	6.4329303397981	13.7749562971041	3	"2"	NA
"336"	"21"	"16"	"MeasID_18"	10.65	12.1142857142857	3	"2"	NA
"337"	"22"	"1"	"MeasID_3"	0	26.6002492	3	"1"	NA
"338"	"22"	"2"	"MeasID_4"	NA	NA	3	"0"	NA
"339"	"22"	"3"	"MeasID_5"	NA	NA	3	"0"	NA
"340"	"22"	"4"	"MeasID_6"	NA	NA	3	"0"	NA
"341"	"22"	"5"	"MeasID_7"	NA	NA	3	"0"	NA
"342"	"22"	"6"	"MeasID_8"	NA	NA	3	"0"	NA
"343"	"22"	"7"	"MeasID_9"	NA	NA	3	"0"	NA
